x:4.35967e-39 y:4.84405e+25 z:2.83996
x:4.05368e-41 y:-1.71801e+11 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:-1.46523e-38 y:-1.02375e-26 z:-11.3596
x:4.0178e-41 y:-1.17551e-37 z:-2.029e-14
x:4.34066e-41 y:4.83578e+25 z:1.00895e-14
x:1.86306e+25 y:-6.82297e+33 z:-2.82427
x:2.20262e-28 y:3.4508e+11 z:5.71102
x:4.34066e-41 y:4.83578e+25 z:1.00895e-14
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:2.9825e-39 y:4.85479e+25 z:1.69274e-07
x:0.000122061 y:-2.85723e-21 z:11.3596
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:-2.04559e+37 y:888.834 z:6.02368
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.34066e-41 y:4.83578e+25 z:1.00895e-14
x:-4.75904e+09 y:3.41129e+33 z:0.0110936
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:9.94127e-38 y:3.18773e+28 z:6.03902
x:1.77778e-15 y:6.75541e+17 z:-2.14003e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.5437e-39 y:4.84818e+25 z:1.69274e-07
x:-3.74303e+29 y:-2.06692e-13 z:2.83996
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:1.45538e-38 y:4.84133e+25 z:1.69274e-07
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:1.51966e-38 y:4.84723e+25 z:1.05797e-08
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.34066e-41 y:4.83578e+25 z:1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:1.00895e-14
x:4.34066e-41 y:4.83578e+25 z:-1.00895e-14
x:-1.38863e-34 y:-9.22871e-08 z:1.49807
x:4.34066e-41 y:4.83578e+25 z:1.00895e-14
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:1.34831e-26 y:-7.07579e-22 z:11.3596
x:9.04042e-39 y:-1.18088e-37 z:2.12758e-08
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:1.45538e-38 y:4.84133e+25 z:1.69274e-07
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.34066e-41 y:4.83578e+25 z:-1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:1.00895e-14
x:4.34066e-41 y:4.83578e+25 z:-1.00895e-14
x:5.61407e-09 y:-175.168 z:-1.50588
x:-3.5292e-08 y:-2.17575e-10 z:2.83994
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.34066e-41 y:4.83578e+25 z:-1.00895e-14
x:-3.44793e+10 y:-1.30696e-22 z:2.12892e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:1.34831e-26 y:-7.07579e-22 z:11.3596
x:6.37719e-39 y:-1.18088e-37 z:2.12758e-08
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.253e+12 y:-3.16703e-15 z:2.83996
x:4.05368e-41 y:-1.17551e-37 z:-2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:1.43912e+36 y:2.72997e+18 z:-11.3596
x:4.0178e-41 y:-1.17551e-37 z:2.029e-14
x:4.37654e-41 y:4.83578e+25 z:-1.00895e-14
x:4.34066e-41 y:4.83578e+25 z:1.00895e-14
x:4.37654e-41 y:4.83578e+25 z:2.0179e-14
x:1.51371e+23 y:-1.16892e-19 z:1.07001e-14
x:4.34066e-41 y:4.83578e+25 z:2.0179e-14
x:7.03116e-41 y:-2.62148e+06 z:-1.00895e-14
x:-6.35031e-30 y:-1.30293e+14 z:-1.06722e-14
x:2.49424e-10 y:-2.454e-33 z:11.9534
x:-8.6368e+09 y:-2.0156e+32 z:-2.11227e-14
x:-6.12575e+35 y:-9.38733e-06 z:-9.11977e-05
x:1.30403e-38 y:-2.74599e-35 z:0.000366698
x:-2.4195e+14 y:2.49389e-24 z:-3.59961e-07
x:4.37654e-41 y:4.83578e+25 z:1.00895e-14
x:4.0178e-41 y:-1.17551e-37 z:2.029e-14
x:-7.14283e-15 y:1.68747e-21 z:1.07275e-14
x:-3.21693e+34 y:9.25726e-36 z:3.02745
x:4.37654e-41 y:4.83578e+25 z:-2.0179e-14
x:7.03116e-41 y:-2.62148e+06 z:-1.00895e-14
x:-2.14841e+09 y:4.85174e+37 z:-1.06724e-14
x:1.52716e-23 y:1.0052e+21 z:6.00794
